26029.202 3840.7494  6  7 -0.09763  0.014406 0.23437
26029.202 3840.7494  6  6 -0.03924  0.005791 0.03385
26029.202 3840.7494  6  5  0.01076 -0.001587 0.00260
26029.202 3840.7494  5  6 -0.04230  0.006242 0.16927
26029.202 3840.7494  5  5  0.00770 -0.001136 0.05320
26029.202 3840.7494  5  4  0.04933 -0.007279 0.00670
26029.202 3840.7494  4  5  0.00515 -0.000760 0.11607
26029.202 3840.7494  4  4  0.04678 -0.006903 0.06027
26029.202 3840.7494  4  3  0.08007 -0.011815 0.01116
26029.202 3840.7494  3  4  0.04474 -0.006602 0.07366
26029.202 3840.7494  3  3  0.07803 -0.011514 0.05729
26029.202 3840.7494  3  2  0.10298 -0.015196 0.01488
26029.202 3840.7494  2  3  0.07650 -0.011288 0.04092
26029.202 3840.7494  2  2  0.10145 -0.014970 0.04650
26029.202 3840.7494  2  1  0.11808 -0.017424 0.01674
26029.202 3840.7494  1  2  0.10043 -0.014820 0.01674
26029.202 3840.7494  1  1  0.11706 -0.017274 0.03013
26029.202 3840.7494  1  0  0.12538 -0.018500 0.01563
25866.851 3864.8561  6  6 -0.03078  0.004600 0.22569
25866.851 3864.8561  6  5  0.03356 -0.005015 0.04514
25866.851 3864.8561  5  6 -0.07398  0.011055 0.04514
25866.851 3864.8561  5  5 -0.00964  0.001440 0.11546
25866.851 3864.8561  5  4  0.04394 -0.006566 0.06857
25866.851 3864.8561  4  5 -0.04564  0.006819 0.06857
25866.851 3864.8561  4  4  0.00794 -0.001187 0.04527
25866.851 3864.8561  4  3  0.05078 -0.007587 0.07366
25866.851 3864.8561  3  4 -0.02086  0.003116 0.07366
25866.851 3864.8561  3  3  0.02198 -0.003284 0.00868
25866.851 3864.8561  3  2  0.05409 -0.008081 0.06349
25866.851 3864.8561  2  3  0.00038 -0.000056 0.06349
25866.851 3864.8561  2  2  0.03249 -0.004854 0.00050
25866.851 3864.8561  2  1  0.05388 -0.008051 0.04018
25866.851 3864.8561  1  2  0.01809 -0.002702 0.04018
25866.851 3864.8561  1  1  0.03948 -0.005899 0.02232
24678.574 4050.9537  8  8 -0.06966  0.011434 0.19560
24678.574 4050.9537  8  7  0.03676 -0.006035 0.01690
24678.574 4050.9537  7  8 -0.14070  0.023096 0.01690
24678.574 4050.9537  7  7 -0.03428  0.005626 0.14289
24678.574 4050.9537  7  6  0.05884 -0.009659 0.02771
24678.574 4050.9537  6  7 -0.09644  0.015830 0.02771
24678.574 4050.9537  6  6 -0.00332  0.000544 0.10165
24678.574 4050.9537  6  5  0.07650 -0.012557 0.03314
24678.574 4050.9537  5  6 -0.05660  0.009291 0.03314
24678.574 4050.9537  5  5  0.02322 -0.003811 0.07042
24678.574 4050.9537  5  4  0.08973 -0.014730 0.03394
24678.574 4050.9537  4  5 -0.02118  0.003477 0.03394
24678.574 4050.9537  4  4  0.04533 -0.007441 0.04778
24678.574 4050.9537  4  3  0.09854 -0.016176 0.03078
24678.574 4050.9537  3  4  0.00981 -0.001611 0.03078
24678.574 4050.9537  3  3  0.06302 -0.010345 0.03248
24678.574 4050.9537  3  2  0.10293 -0.016896 0.02424
24678.574 4050.9537  2  3  0.03638 -0.005972 0.02424
